,msg_sender,sender_text,quoted_sender,quoted_text,msg_datetime,read_more_btn
164,Paru,"Pending Long Site/Cell down due to project activity

581800 ""BAU relocation, Y2022 Project work on Dhaka North
BTS Relocation With Lock/Unlock (DHUTT03 to DHUTT1""
DHUTT03 4G SITE 23/01/2023 15:25 //RC:Relocation ongoing. ERT:25/01.Unit: R&I",,,2023-01-24 09:47,
165,Hosna Ara,"Update of Site Down at 10:00 On 24-01-2023

Region: 2G/3G/4G
National: 27/11/32

DHK_M: 0/0/0
DHK_N: 0/1/5
DHK_S: 2/2/2
DHK_O: 3/1/3
CTG_M: 0/1/0
CTG_N: 7/0/8
CTG_S: 3/2/3
COM: 5/0/4
NOA: 1/1/1
SYL: 3/0/3
MYM: 1/1/1
BAR: 0/1/0
KHL: 1/1/1
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-24 10:04,
166,Hosna Ara,"Update of Site Down at 08:00 On 24-01-2023

Region: 2G/3G/4G
National: 21/5/27

DHK_M: 0/0/0
DHK_N: 1/0/5
DHK_S: 0/0/0
DHK_O: 4/1/3
CTG_M: 0/1/0
CTG_N: 8/0/11_Incident[8/0/8]
CTG_S: 1/0/1
COM: 1/1/1
NOA: 1/0/1
SYL: 2/0/2
MYM: 0/0/0
BAR: 1/1/1
KHL: 1/1/1
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-24 08:08,
167,Barsha,"we found that the PLR file in DRA lite was not rolled back, we have done it now, so it should be ok now.. thanks to Solaiman vai for having the discussion with me",,,2023-01-24 08:08,
168,Barsha,It’s the latest feedback of TANGO vendor. Issue was in rollback.,Barsha,"we found that the PLR file in DRA lite was not rolled back, we have done it now, so it should be ok now.. thanks to Solaiman vai for having the discussion with me",2023-01-24 08:09,
169,Baten Vai,"24-Jan'23@06:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-24 08:09,
170,__omi__,"The Duty Handover to Morning shift at 07:30 on 24-Jan-2023:

SM: Yeaseen
CNM: Tawhid vai
TX_M: Mahbub vai
TX_FLS: Jubair vai
RAN_M: Hosne ara
RAN_FLS: Batul vai, Baten vai

BO Support Concerns for this week (22 January to 28 January_2023)

CN_BO: CS_ Shankar & PS_ Farhad
TX_BO: Sobuj
RAN_BO: Feroz
OSS: Shakib
IP TNO: Ashraf
TSPR: Monoj
DCN_Net: Zobaarul

Major Concern: 

1. @RANFLS/SM, please check BSC/RNC Voice Traffic degradation, CSSR degradation update email from Network. Insight regular basis. 
@RANFLS from now on post the update every hour. 
@SM, Keep Tableau/Network Availability Dashboard under observation.

2. @RANFLS, don't reset any Gulshan's sites except jalal vai's consent.

3. NGRPGA6 (DITF COW) VIP site. RAN_FLS please check this site regularly…",,,2023-01-24 08:19,Read more
171,Barsha,@hasan yeaseen pls share current PDP SR status,Eshtiuk Hossain,Overall SR 50-80% till 07:55,2023-01-24 08:34,
172,hasan yeaseen,"Ok now, 99% in all except 3 UGW",Barsha,@hasan yeaseen pls share current PDP SR status,2023-01-24 08:35,
173,Hosna Ara,"Incident Notification:
7 2G, 7 3G & 9 4G Sites in Noakhali are down
Severity: C3
FT: 08:41_24/01
ERT: Yet to share
POP: LXSDR12
Cause: Outage occurred due to CR_582049 activity
CR Slogan: Traffic Check @_ LXSDR12
Action: CR team is still working
Remarks: Impact list mismatched found 
Area: Begumganj & Lakshmipur Sadar
Unit: R & I
TT: INC000017936743",,,2023-01-24 08:59,
174,Baten Vai,"24-Jan'23@08:15
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-24 08:59,
175,Txmonitoring,Fiber incident update at 09:00_24/01,,,2023-01-24 09:03,
176,Hosna Ara,"Update of Site Down at 09:15 On 24-01-2023

Region: 2G/3G/4G
National: 33/9/37

DHK_M: 0/0/0
DHK_N: 2/1/5
DHK_S: 2/1/2
DHK_O: 6/1/6
CTG_M: 0/1/0
CTG_N: 7/0/8
CTG_S: 1/0/1
COM: 4/0/3
NOA: 8/3/9_CR Incident
SYL: 0/0/0
MYM: 1/0/1
BAR: 0/1/0
KHL: 1/1/1
KUS: 1/0/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-24 09:19,
177,Hosna Ara,"Close Notification:
7 2G, 7 3G & 9 4G Sites in Noakhali are up
Severity: C3
FT: 08:41_24/01
RT: 09:21_24/01
DUR: 00:40
POP: LXSDR12
Cause: Outage occurred due to CR_582049 activity
CR Slogan: Traffic Check @_ LXSDR12
Action: CR team finished their activity 
Remarks: Impact list mismatched found 
Area: Begumganj & Lakshmipur Sadar
Unit: R & I
TT: INC000017936743",Hosna Ara,"Incident Notification:
7 2G, 7 3G & 9 4G Sites in Noakhali are down
Severity: C3
FT: 08:41_24/01
ERT: Yet to share
POP: LXSDR12
Cause: Outage occurred due to CR_582049 activity
CR Slogan: Traffic Check @_ LXSDR12
Action: CR team is still working
Remarks: Impact list mismatched found 
Area: Begumganj & Lakshmipur Sadar
Unit: R & I
TT: INC000017936743",2023-01-24 09:36,
178,__omi__,Addimg in remarks.,Barsha,Vaia activity at Dhaka but impact is in countrywide,2023-01-24 07:49,
179,__omi__,"Incident Notification:
PDP SR is degraded in all UGW
Impact: Customer will face delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity of IT team 
CR Slogan: ADCS DRA Expansion Activity at Shard 0 (Dhaka DRA expansion activity)
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",,,2023-01-24 07:52,
180,Jalal Vaia,"We are happy to know that still customers are not impacted but they will  face delay for data connectivity, is it?",You,"Incident Notification:
PDP SR is degraded in all UGW
Impact: Customer will face delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity of IT team 
CR Slogan: ADCS DRA Expansion Activity at Shard 0 (Dhaka DRA expansion activity)
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",2023-01-24 07:55,
181,Barsha,Pls Share current status,Eshtiuk Hossain,Current SR 40-50%,2023-01-24 07:56,
182,__omi__,"Incident Notification:
PDP SR is degraded in all UGW
Impact: Customer are facing delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity of IT team 
CR Slogan: ADCS DRA Expansion Activity at Shard 0 (Dhaka DRA expansion activity)
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",Jalal Vaia,"We are happy to know that still customers are not impacted but they will  face delay for data connectivity, is it?",2023-01-24 07:56,
183,Jalal Vaia,Pls circulate,You,"Incident Notification:
PDP SR is degraded in all UGW
Impact: Customer are facing delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity of IT team 
CR Slogan: ADCS DRA Expansion Activity at Shard 0 (Dhaka DRA expansion activity)
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",2023-01-24 07:57,
184,__omi__,ok vaia,Jalal Vaia,Pls circulate,2023-01-24 07:57,
185,Eshtiuk Hossain,"SR increasing , above 40%",Barsha,Pls Share current status,2023-01-24 07:59,
186,Chanda Bhai,Please check,,,2023-01-24 08:02,
187,Chanda Bhai,Again,,,2023-01-24 08:02,
188,Jalal Vaia,"Revise the unit name during close notification.

Unit: IT IRCM planning and Ooerations",You,"Incident Notification:
PDP SR is degraded in all UGW
Impact: Customer are facing delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity of IT team 
CR Slogan: ADCS DRA Expansion Activity at Shard 0 (Dhaka DRA expansion activity)
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",2023-01-24 08:02,
189,Eshtiuk Hossain,Noted vaia,Jalal Vaia,"Revise the unit name during close notification.

Unit: IT IRCM planning and Ooerations",2023-01-24 08:03,
190,Jalal Vaia,"Tamanna, what was the Impact of if this CR and what was the window? When roll back plan should be triggered as per CR?",,,2023-01-24 08:04,
191,Eshtiuk Hossain,Overall SR 50-80% till 07:55,Eshtiuk Hossain,"SR increasing , above 40%",2023-01-24 08:05,
192,Barsha,Impact window was starting within 2am-4am. Rollback started at 5:20am which should be started at 4.30am. Tango Vendor confirmed rollback successful at 06:19am but PDP SR was low then.,Jalal Vaia,"Tamanna, what was the Impact of if this CR and what was the window? When roll back plan should be triggered as per CR?",2023-01-24 08:08,
193,Eshtiuk Hossain,"Incident Notification :
PDP SR is degraded intermittently in all UGW
Impact: Customer will face delay for data connectivity establishment
Severity: C-2
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity
CR Slogan: ADCS DRA Expansion Activity at Shard 0
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",,,2023-01-24 07:39,
194,Jalal Vaia,Why C2? It should be C1,Eshtiuk Hossain,"Incident Notification :
PDP SR is degraded intermittently in all UGW
Impact: Customer will face delay for data connectivity establishment
Severity: C-2
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity
CR Slogan: ADCS DRA Expansion Activity at Shard 0
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",2023-01-24 07:41,
195,Eshtiuk Hossain,Current SR 40-50%,Eshtiuk Hossain,Current SR 30-40%,2023-01-24 07:41,
196,Eshtiuk Hossain,"Incident Notification:
PDP SR is degraded intermittently in all UGW
Impact: Customer will face delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity
CR Slogan: ADCS DRA Expansion Activity at Shard 0
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",Jalal Vaia,Why C2? It should be C1,2023-01-24 07:42,
197,Jalal Vaia,CR activity by whom?,Eshtiuk Hossain,"Incident Notification:
PDP SR is degraded intermittently in all UGW
Impact: Customer will face delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity
CR Slogan: ADCS DRA Expansion Activity at Shard 0
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",2023-01-24 07:43,
198,Eshtiuk Hossain,Unit: Platform Planning and Management (IT),Jalal Vaia,CR activity by whom?,2023-01-24 07:43,
199,Eshtiuk Hossain,"Incident Notification:
PDP SR is degraded in all UGW
Impact: Customer will face delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity of IT team 
CR Slogan: ADCS DRA Expansion Activity at Shard 0
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",,,2023-01-24 07:45,
200,Jalal Vaia,"As per IT, it’s for Pubail PCRF expansion activity.",Eshtiuk Hossain,"Incident Notification:
PDP SR is degraded in all UGW
Impact: Customer will face delay for data connectivity establishment
Severity: C-1
FT: 03:00_24/01
ERT: Yet to share
Cause: PDP SR degraded due to CRQ000000582143 activity of IT team 
CR Slogan: ADCS DRA Expansion Activity at Shard 0
Remarks: Currently CR roll back activity ongoing 
Unit: Platform Planning and Management (IT)
Tracking ID: RDCNM2301240300",2023-01-24 07:47,
201,hasan yeaseen,"It is Dhaka DRA expansion activity, not related with Ctg",,,2023-01-24 07:47,
202,Jalal Vaia,Yes,hasan yeaseen,"It is Dhaka DRA expansion activity, not related with Ctg",2023-01-24 07:48,
203,__omi__,"Vaia,. getting lower for all",Jalal Vaia,Yes,2023-01-24 07:48,
204,Barsha,Vaia activity at Dhaka but impact is in countrywide,hasan yeaseen,"It is Dhaka DRA expansion activity, not related with Ctg",2023-01-24 07:49,
205,Jalal Vaia,Who is saying different?,You,"Vaia,. getting lower for all",2023-01-24 07:49,
206,__omi__,Ok vaia,Jalal Vaia,Who is saying different?,2023-01-24 07:49,
207,Eshtiuk Hossain,PDP SR almost 20% in all UGWs till 06:35am .,,,2023-01-24 06:45,
208,Eshtiuk Hossain,"Incident Tracker Consistency Status_23/01/23:

• Incident notified: 26
• Incident in tracker (ISDP): 26
• Mismatch found (Y/N): N
• Rectification status: 00",,,2023-01-24 06:59,
209,Sobuj RNM,"Update of Site Down at 07:00 On 24-01-2023

Region: 2G/3G/4G
National: 29/10/33

DHK_M: 0/0/0
DHK_N: 0/0/4
DHK_S: 1/1/1
DHK_O: 3/1/3
CTG_M: 0/1/0
CTG_N: 9/1/12---Incident running
CTG_S: 4/1/2
COM: 2/1/1
NOA: 1/0/1
SYL: 6/2/6
MYM: 0/0/0
BAR: 1/1/1
KHL: 1/1/1
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-24 07:02,
210,Barsha,Pls share current PDP SR,Eshtiuk Hossain,PDP SR almost 20% in all UGWs till 06:35am .,2023-01-24 07:07,
211,Txmonitoring,Fiber incident update at 03:00_24/01,,,2023-01-24 03:09,
212,Eshtiuk Hossain,Observing PDP success rate degraded in all UGWs since 2:40hrs . Suspecting this is due to CR# 582143 activity . Mailed shared to IT SOC & also PS concern informed .,,,2023-01-24 03:12,
213,Sobuj RNM,"Update of Site Down at 03:00 On 24-01-2023

Region: 2G/3G/4G
National: 36/7/37

DHK_M: 0/0/0
DHK_N: 0/0/4
DHK_S: 1/1/1
DHK_O: 2/0/2
CTG_M: 0/1/0
CTG_N: 9/1/11
CTG_S: 4/1/2
COM: 2/0/0
NOA: 1/0/1
SYL: 2/0/2
MYM: 1/1/1
BAR: 1/1/1
KHL: 1/1/1
KUS: 1/0/0
RAJ: 1/0/1
RANG: 10/0/10",,,2023-01-24 03:21,
214,Eshtiuk Hossain,"Network Update
03:00_24/01/2023

PDP SR degraded to 40% in all UGWs since 2:40hrs

Currently no Pending TT in the Core bucket

No Capping observed

No alarm found at ATIC

No Delay/Packet loss in Service Performance Report 

No core critical alarms found at PSA Report 

CTO and CEBO traces are not running due to some security error

NCEIP QoS related issue raised to TxM/Tx_FLS (12:15_23/01/23)",,,2023-01-24 03:24,
215,Sobuj RNM,"Update of Site Down at 05:00 On 24-01-2023

Region: 2G/3G/4G
National: 26/7/27

DHK_M: 0/0/0
DHK_N: 0/0/4
DHK_S: 1/1/1
DHK_O: 3/1/2
CTG_M: 0/1/0
CTG_N: 9/1/11---C3 incident
CTG_S: 4/1/2
COM: 2/0/0
NOA: 2/0/2
SYL: 2/0/2
MYM: 0/0/0
BAR: 1/1/1
KHL: 1/1
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0/1",,,2023-01-24 05:02,
216,Fls Rokib,"24-Jan'23@04:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-24 05:46,
217,Eshtiuk Hossain,"Pending Incidents at 06:00_24/01/2023

Fiber Network:

1. 8 2G & 8 4G Sites in Chittagong North are down 
Severity: C3
FT: 22:27_23/01
ERT: Yet to share
Cause: Dual fiber cut
Fiber 1: RMSDR03(K. K. Roy Road) to RMNNC02(Betchari Land) BTCL DWDM fiber
Fiber 2: RMKKL05(Ghagra) to RMSDR03(K. K. Roy Road) BTCL DWDM fiber
Unit: Fiber Ops
Vendor: BTCL

2. GPSDR34(Pubail) to NSBLB02(Nayaranpur)  BTCL DWDM fiber is up but still huge loss persists
Impact: No outage
Severity: C-3
FT: 12:58_22/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

3. BMSDR56(Sultanpur, B.Baria Sadar) to BMKSB23(Sayedabad, Kashba) BTCL DWDM fiber is down
Impact: No outage
Severity: C-3
FT: 19:10_23/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL

4. FNDGN24(Daganbhuiyan,Feni) to NOBGM55(Be…",,,2023-01-24 06:03,Read more
218,Sobuj RNM,"Update of Site Down at 06:00 On 24-01-2023

Region: 2G/3G/4G
National: 28/10/30

DHK_M: 0/0/0
DHK_N: 0/0/4
DHK_S: 2/2/2
DHK_O: 3/1/2
CTG_M: 0/1/0
CTG_N: 9/1/12---C3 Incident
CTG_S: 4/1/2
COM: 2/0/0
NOA: 1/0/1
SYL: 4/2/4
MYM: 0/0/0
BAR: 1/1/1
KHL: 1/1/1
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-24 06:04,
219,Txmonitoring,Fiber incident update at 06:00_24/01,,,2023-01-24 06:06,
220,Eshtiuk Hossain,PDP SR still low in all UGWs,Eshtiuk Hossain,Observing PDP success rate degraded in all UGWs since 2:40hrs . Suspecting this is due to CR# 582143 activity . Mailed shared to IT SOC & also PS concern informed .,2023-01-24 06:14,
221,Eshtiuk Hossain,"Network Update
06:00_24/01/2023

PDP SR degraded to 20% in all UGWs

Currently no Pending TT in the Core bucket

No Capping observed

No alarm found at ATIC

No Delay/Packet loss in Service Performance Report 

Some core critical alarms found at PSA Report 

CTO and CEBO traces are not running due to some security error

NCEIP QoS related issue raised to TxM/Tx_FLS (12:15_23/01/23)",,,2023-01-24 06:41,
222,Sobuj RNM,"Update of Site Down at 22:00 On 23-01-2023

Region: 2G/3G/4G
National: 16/11/19

DHK_M: 1/0/1
DHK_N: 0/1/5
DHK_S: 2/2/1
DHK_O: 3/2/3
CTG_M: 0/0/0
CTG_N: 0/0/0
CTG_S: 2/1/2
COM: 1/1/1
NOA: 1/0/0
SYL: 0/0/0
MYM: 4/3/4
BAR: 1/1/1
KHL: 0/0/0
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-23 22:03,
223,Alauddin Vai,"Announcement for Morning Shift

Dear All OSE,

Due to some access approval issue, please do morning shift from home.


For Evening Shift OSE we will inform tomorrow morning.


For Shift duty FTE will do office as per regular / present practice (Home / Office).

I remain for any clerance.",,,2023-01-23 22:12,
224,Alauddin Vai,"The Duty Handover to Night shift at 22:15 on 23-Jan-2023:

SM: Omi Vi
CNM: Eshtiuk Bro
TX_M: Shariful Bro
TX_FLS: Tanvir Bro
RAN_M: Sabuj Bro
RAN_FLS: Rokib Bro

BO Support Concerns for this week (22 January to 28 January_2023)

CN_BO: CS_ Shankar & PS_ Farhad
TX_BO: Sobuj
RAN_BO: Feroz
OSS: Shakib
IP TNO: Ashraf
TSPR: Monoj
DCN_Net: Zobaarul

Major Concern: 

1. @RANFLS/SM, please check BSC/RNC Voice Traffic degradation, CSSR degradation update email from Network. Insight regular basis. 
@RANFLS from now on post the update every hour. 
@SM, Keep Tableau/Network Availability Dashboard under observation.

2. @RANFLS, don't reset any Gulshan's sites except jalal vai's consent.

3. NGRPGA6 (DITF COW) VIP site. RAN_FLS please check this site regularly 03 Hrs. in…",,,2023-01-23 22:13,Read more
225,Sajal,Restored. Dual fiber cut at FHL end.,Md. Hasib Ur Rahman,"Incident Notification:
4 2G & 4 4G Sites in Comilla are down
Severity: C3
FT: 16:40_23/01
ERT: 4 hrs
POP: CMNKT15
Cause: Suspecting fiber issue at FHL end
Area: Laksam & Nangalkot
Unit: FHL
Tracking ID: RDTXM2301231640",2023-01-23 20:22,
226,Md. Hasib Ur Rahman,"Close Notification:
4 2G & 4 4G Sites in Comilla are up
Severity: C3
FT: 16:40_23/01
RT: 20:13_23/01
DUR: 03:33
POP: CMNKT15
Cause: Fiber cut at FHL end
Action: FHL team resolved the issue
Area: Laksam & Nangalkot
Unit: FHL
Tracking ID: RDTXM2301231640",Md. Hasib Ur Rahman,"Incident Notification:
4 2G & 4 4G Sites in Comilla are down
Severity: C3
FT: 16:40_23/01
ERT: 4 hrs
POP: CMNKT15
Cause: Suspecting fiber issue at FHL end
Area: Laksam & Nangalkot
Unit: FHL
Tracking ID: RDTXM2301231640",2023-01-23 20:25,
227,Eric Amit Dada,"Net Status 22-Jan,2023

VLR(A): 43.49M(+95.44K)
VLR(R): 45.2M(+69.46K)
HLR: 112.22M(+1.42K)
4G(A): 18.83M(+76.34K)
4G(R): 24.45M(+38.65K)
EL(WD): 5.68M(+142.2K)
ELSR: 98.58%(+0.05%)

Network Performance:
CSSR2G: 99.21%(+0.15%)
CDR2G: 0.38%(+0.01%)
CDR3G: 0.18%(-0.02%)
PSR: 94.54%(+0.06%)
LUSR: 98.82%(-0.04%)
MTCCR: 92.73%(+0.52%)
SMMTSR: 52.48%(-2.71%)

Traffic:
Voice:
2G(BH): 469.34K(+10.86K)
2G(WD): 4841.68K(-81.35K)
3G(BH): 270.39K(+13.69K)
3G(WD): 3155.78K(+204.42K)

Data:
GiTotal(TP): 1362.35Gbps(-41.95Gbps)
GiDL(FNA): 510.38Gbps
GiDL(GGC): 253.08Gbps
GiDL(BDIX): 8.69Gbps
2G(WD): 13TB(-0.57TB)
3G(WD): 578.69TB(+3.01TB)
4G(WD): 7812.41TB(-15.21TB)
TotalData: 8404.1TB(-12.77TB)

SMS:
SMMT(WD): 15.62M(-1459.53K)

IIG Peak Usage (Gbps) /Capacity (Gbps) /Uti…",,,2023-01-23 20:38,Read more
228,Arif RANFLS,"23-Jan'23@19:30
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-23 20:48,
229,Md. Hasib Ur Rahman,"Close Notification:
6 2G, 6 3G & 6 4G Sites in Mymensingh are up
Severity: C3
FT: 19:27_23/01
RT: 20:41_23/01
DUR: 01:14
POP: MYISG18
Cause: Power issue at POP
Action: ULKA team resolved the issue
Area: Gauripur, Ishwarganj & Kendua
Unit: ULKA
TT: INC000017934880",Md. Hasib Ur Rahman,"Incident Notification:
6 2G, 6 3G & 6 4G Sites in Mymensingh are down
Severity: C3
FT: 19:27_23/01
ERT: 4 hrs
POP: MYISG18
Cause: Suspecting fiber issue at SCL end
Area: Gauripur, Ishwarganj & Kendua
Unit: SCL
Tracking ID: RDTXM2301231927",2023-01-23 20:52,
230,Eric Amit Dada,"Network Update
21:00_23/01/2023

PDP SR found 100% in all UGWs

Currently no Pending TT in the Core bucket

No Capping observed

No alarm found at ATIC

No Delay/Packet loss in Service Performance Report except Akhter-Aamra, Vulta-Level3 & Alekharchar-SCL to Facebook

No critical alarms found at PSA Report 

CTO and CEBO traces are not running due to some security error

NCEIP QoS related issue raised to TxM/Tx_FLS (12:15_23/01/23)",,,2023-01-23 21:01,
231,Md. Hasib Ur Rahman,"Update of Site Down at 21:00 On 23-01-2023

Region: 2G/3G/4G
National: 12/7/14

DHK_M: 1/0/0
DHK_N: 1/2/6
DHK_S: 1/1/1
DHK_O: 0/0/0
CTG_M: 0/0/0
CTG_N: 0/0/0
CTG_S: 1/0/1
COM: 1/0/0
NOA: 1/0/0
SYL: 0/0/0
MYM: 3/3/3
BAR: 2/1/2
KHL: 0/0/0
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-23 21:01,
232,Txmonitoring,Fiber incident update at 21:00_23/01,,,2023-01-23 21:19,
233,Shifat,"Update of NGRPGA6 (DITF COW- VIP site) at 21:00 On 23-01-2023

2G: ""RX Diversity Lost (AntennaUnitGroup=3_B3_1)"" alarm persist as well as fluctuation observed in History. Concern: e.co 

3G: RSSI found degraded for all the cells in last 24 hrs log. Concern: SM CCD

4G: License Key File Fault Alarm persist. Concern: RAN BO.
DL throughput found degraded for NGRPGA6L21C NGRPGA6L21E NGRPGA6LB NGRPGA6LE cells. Concern: SM CCD",,,2023-01-23 21:22,
234,Barsha,"Planned Work
24 Jan,2023

Total: 223
Approved: 213
Critical: 05
Unit:   App/Crt/Otg/Notg

Total:  213/05/108/105
Tops:   10/04/07/03
Imple:  181/00/85/96
NTTN:   04/00/04/00
e.co:   14/00/10/04
IT:     04/01/02/02

PW1: ADCS DRA Expansion Activity at Shard 0
CR# 582143
ST: 2023/01/24 00:00:00
RT: 2023/01/24 08:00:00
Impact: 
1. 50% customers will be impacted where customer will be able to browse data but no metering will be there from system end during the activity. Hence FoC will be applied for 30 minutes for 50% customers.
2. All sort of pack purchases, SQS, USSD and PMI will be turned off during the expansion for 1 hour.
Unit: Platform Planning and Management (IT)

PW2: Sync Inconsistent Configuration rectification in single baseband sites
CR# 582451
ST: …",,,2023-01-23 21:54,Read more
235,Md. Hasib Ur Rahman,"Incident Notification:
3 2G & 3 4G Sites in Kushtia are fluctuating
Severity: C3
FT: 18:18_23/01
ERT: 4 hrs
POP: PBSTH05
Cause: Suspecting fiber issue at FHL end
Area: Santhia & Sujanagar
Unit: FHL 
Tracking ID: RDTXM2301231818",,,2023-01-23 18:19,
236,Alauddin Vai,"VIP sites update at 18:00 on 23-01-2023

2G:3
DHSVR73(Edotco): 09:44 23-01-23,Dird
DHBDD14(Edotco): 16:00 23-01-23,0$ Gulshan_14
BOSDR75(ABHT): 14:47 23-01-23,TMMS

3G:1
DHBDD14(Edotco): 15:59 23-01-23,0$ Gulshan_14

4G:4
DHPLB67(Edotco): 16:24 23-01-23,Tanjim Printing

@Shifat vi, RC plz",,,2023-01-23 18:55,
237,Md. Hasib Ur Rahman,"Incident Notification:
20 2G & 21 4G Sites in Rajshahi are down
Severity: C3
FT: 18:41_23/01
ERT: 4 hrs
POP: RSRJP13,RSRJP18,RSBLA24
Cause: Suspecting fiber issue at FHL end
Area: Boalia Thana, Paba & Rajpara Thana
Unit: FHL
Tracking ID: RDTXM2301231841",,,2023-01-23 18:56,
238,Arif RANFLS,"23-Jan'23@17:30
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-23 19:07,
239,Md. Hasib Ur Rahman,"Update of Site Down at 19:15 On 23-01-2023

Region: 2G/3G/4G
National: 50/15/52

DHK_M: 1/0/0
DHK_N: 3/3/8
DHK_S: 1/1/1
DHK_O: 1/1/2
CTG_M: 0/0/0
CTG_N: 1/0/0
CTG_S: 1/0/1
COM: 7/0/5
NOA: 3/1/2
SYL: 0/0/0
MYM: 9/8/9
BAR: 1/1/1
KHL: 0/0/0
KUS: 0/0/0
RAJ: 22/0/23-C3 incident
RANG: 0/0/0",,,2023-01-23 19:22,
240,Shifat,"Dear vaia, Please have the feedback: 


DHSVR73 (Edotco): up and taking traffic 
DHBDD14 (Edotco): up and taking traffic 
BOSDR75 (ABHT): up and taking traffic 
DHPLB67 (Edotco): Restored at DHPLB67",Alauddin Vai,"VIP sites update at 18:00 on 23-01-2023

2G:3
DHSVR73(Edotco): 09:44 23-01-23,Dird
DHBDD14(Edotco): 16:00 23-01-23,0$ Gulshan_14
BOSDR75(ABHT): 14:47 23-01-23,TMMS

3G:1
DHBDD14(Edotco): 15:59 23-01-23,0$ Gulshan_14

4G:4
DHPLB67(Edotco): 16:24 23-01-23,Tanjim Printing

 vi, RC plz",2023-01-23 19:32,
241,Sajal,Restored.,Md. Hasib Ur Rahman,"Incident Notification:
20 2G & 21 4G Sites in Rajshahi are down
Severity: C3
FT: 18:41_23/01
ERT: 4 hrs
POP: RSRJP13,RSRJP18,RSBLA24
Cause: Suspecting fiber issue at FHL end
Area: Boalia Thana, Paba & Rajpara Thana
Unit: FHL
Tracking ID: RDTXM2301231841",2023-01-23 19:39,
242,Md. Hasib Ur Rahman,"Incident Notification:
6 2G, 6 3G & 6 4G Sites in Mymensingh are down
Severity: C3
FT: 19:27_23/01
ERT: 4 hrs
POP: MYISG18
Cause: Suspecting fiber issue at SCL end
Area: Gauripur, Ishwarganj & Kendua
Unit: SCL
Tracking ID: RDTXM2301231927",,,2023-01-23 19:40,
